Name,X,Y,field_4,field_5,field_6,Head,nodenumber,layer,row,col,child_loca,top,bottom,delr,delc
MRC035,756890.991999999969266,965097.959999999962747,A,338.954000000000008,"30",355.408913799999993,"5717",0,19,21,"34243",460.00000000,390.00000000,40.00000000,40.00000000
MRC035,756890.991999999969266,965097.959999999962747,A,338.954000000000008,"30",355.408913799999993,"17979",1,19,21,"34243",390.00000000,380.00000000,40.00000000,40.00000000
MRC035,756890.991999999969266,965097.959999999962747,A,338.954000000000008,"30",355.408913799999993,"30241",2,19,21,"34243",380.00000000,-170.00000000,40.00000000,40.00000000
MRC044,757025.395999999949709,965236.405000000027940,A,332.314000000000021,"30",352.070565400000021,"5883",0,19,21,"43121",460.00000000,390.00000000,40.00000000,40.00000000
MRC044,757025.395999999949709,965236.405000000027940,A,332.314000000000021,"30",352.070565400000021,"18145",1,19,21,"43121",390.00000000,380.00000000,40.00000000,40.00000000
MRC044,757025.395999999949709,965236.405000000027940,A,332.314000000000021,"30",352.070565400000021,"30407",2,19,21,"43121",380.00000000,-170.00000000,40.00000000,40.00000000
MRC052,756785.202000000048429,964913.640999999945052,A,344.105999999999995,"30",357.465329100000019,"7215",0,20,21,"12211",460.00000000,390.00000000,40.00000000,40.00000000
MRC052,756785.202000000048429,964913.640999999945052,A,344.105999999999995,"30",357.465329100000019,"19477",1,20,21,"12211",390.00000000,380.00000000,40.00000000,40.00000000
MRC052,756785.202000000048429,964913.640999999945052,A,344.105999999999995,"30",357.465329100000019,"31739",2,20,21,"12211",380.00000000,-170.00000000,40.00000000,40.00000000
MRC059,756753.285999999963678,964697.591999999945983,A,327.182999999999993,"30",358.645589200000018,"7238",0,20,21,"12324",460.00000000,390.00000000,40.00000000,40.00000000
MRC059,756753.285999999963678,964697.591999999945983,A,327.182999999999993,"30",358.645589200000018,"19500",1,20,21,"12324",390.00000000,380.00000000,40.00000000,40.00000000
MRC059,756753.285999999963678,964697.591999999945983,A,327.182999999999993,"30",358.645589200000018,"31762",2,20,21,"12324",380.00000000,-170.00000000,40.00000000,40.00000000
MRC063,756640.648999999975786,964538.189999999944121,A,327.961999999999989,"30",361.386458399999981,"7329",0,20,21,"14113",460.00000000,390.00000000,40.00000000,40.00000000
MRC063,756640.648999999975786,964538.189999999944121,A,327.961999999999989,"30",361.386458399999981,"19591",1,20,21,"14113",390.00000000,380.00000000,40.00000000,40.00000000
MRC063,756640.648999999975786,964538.189999999944121,A,327.961999999999989,"30",361.386458399999981,"31853",2,20,21,"14113",380.00000000,-170.00000000,40.00000000,40.00000000
MRC069,756588.781999999890104,964331.937999999965541,A,322.269000000000005,"30",363.293824099999995,"7324",0,20,21,"13442",460.00000000,390.00000000,40.00000000,40.00000000
MRC069,756588.781999999890104,964331.937999999965541,A,322.269000000000005,"30",363.293824099999995,"19586",1,20,21,"13442",390.00000000,380.00000000,40.00000000,40.00000000
MRC069,756588.781999999890104,964331.937999999965541,A,322.269000000000005,"30",363.293824099999995,"31848",2,20,21,"13442",380.00000000,-170.00000000,40.00000000,40.00000000
MRC082,757062.733000000007451,965472.033999999985099,A,332.911999999999978,"30",357.525680200000011,"5763",0,19,21,"41141",460.00000000,390.00000000,40.00000000,40.00000000
MRC082,757062.733000000007451,965472.033999999985099,A,332.911999999999978,"30",357.525680200000011,"18025",1,19,21,"41141",390.00000000,380.00000000,40.00000000,40.00000000
MRC082,757062.733000000007451,965472.033999999985099,A,332.911999999999978,"30",357.525680200000011,"30287",2,19,21,"41141",380.00000000,-170.00000000,40.00000000,40.00000000
MRC085B,757199.910999999963678,965856.908000000054017,A,325.101999999999975,"30",351.119199799999990,"5387",0,19,21,"23221",460.00000000,390.00000000,40.00000000,40.00000000
MRC085B,757199.910999999963678,965856.908000000054017,A,325.101999999999975,"30",351.119199799999990,"17649",1,19,21,"23221",390.00000000,380.00000000,40.00000000,40.00000000
MRC085B,757199.910999999963678,965856.908000000054017,A,325.101999999999975,"30",351.119199799999990,"29911",2,19,21,"23221",380.00000000,-170.00000000,40.00000000,40.00000000
MRC087,757402.579000000027008,966202.336000000010245,A,336.766000000000020,"30",371.334461499999975,"4319",0,18,21,"44344",460.00000000,390.00000000,40.00000000,40.00000000
MRC087,757402.579000000027008,966202.336000000010245,A,336.766000000000020,"30",371.334461499999975,"16581",1,18,21,"44344",390.00000000,380.00000000,40.00000000,40.00000000
MRC087,757402.579000000027008,966202.336000000010245,A,336.766000000000020,"30",371.334461499999975,"28843",2,18,21,"44344",380.00000000,-170.00000000,40.00000000,40.00000000
MRC088,756489.204000000027008,964168.167000000015832,A,318.610000000000014,"30",363.650661399999990,"7671",0,20,21,"31231",460.00000000,390.00000000,40.00000000,40.00000000
MRC088,756489.204000000027008,964168.167000000015832,A,318.610000000000014,"30",363.650661399999990,"19933",1,20,21,"31231",390.00000000,380.00000000,40.00000000,40.00000000
MRC088,756489.204000000027008,964168.167000000015832,A,318.610000000000014,"30",363.650661399999990,"32195",2,20,21,"31231",380.00000000,-170.00000000,40.00000000,40.00000000
MBH001,756699.000000000000000,964723.000000000000000,A,330.000000000000000,"30",358.800000000000011,"7232",0,20,21,"12312",460.00000000,390.00000000,40.00000000,40.00000000
MBH001,756699.000000000000000,964723.000000000000000,A,330.000000000000000,"30",358.800000000000011,"19494",1,20,21,"12312",390.00000000,380.00000000,40.00000000,40.00000000
MBH001,756699.000000000000000,964723.000000000000000,A,330.000000000000000,"30",358.800000000000011,"31756",2,20,21,"12312",380.00000000,-170.00000000,40.00000000,40.00000000
MBH002,759212.000000000000000,964296.000000000000000,A,310.290000000000020,"30",352.319999999999993,"8195",0,20,23,"143",460.00000000,390.00000000,160.00000000,160.00000000
MBH002,759212.000000000000000,964296.000000000000000,A,310.290000000000020,"30",352.319999999999993,"20457",1,20,23,"143",390.00000000,380.00000000,160.00000000,160.00000000
MBH002,759212.000000000000000,964296.000000000000000,A,310.290000000000020,"30",352.319999999999993,"32719",2,20,23,"143",380.00000000,-170.00000000,160.00000000,160.00000000
MRBH001,762302.000000000116415,962752.000000000000000,A,315.000000000000000,"30",349.379999999999995,"8803",0,21,25,"414",460.00000000,390.00000000,160.00000000,160.00000000
MRBH001,762302.000000000116415,962752.000000000000000,A,315.000000000000000,"30",349.379999999999995,"21065",1,21,25,"414",390.00000000,380.00000000,160.00000000,160.00000000
MRBH001,762302.000000000116415,962752.000000000000000,A,315.000000000000000,"30",349.379999999999995,"33327",2,21,25,"414",380.00000000,-170.00000000,160.00000000,160.00000000
FDG-W002,761569.000000000000000,962477.000000000000000,A,304.000000000000000,"30",346.870000000000005,"8794",0,21,25,"333",460.00000000,390.00000000,160.00000000,160.00000000
FDG-W002,761569.000000000000000,962477.000000000000000,A,304.000000000000000,"30",346.870000000000005,"21056",1,21,25,"333",390.00000000,380.00000000,160.00000000,160.00000000
FDG-W002,761569.000000000000000,962477.000000000000000,A,304.000000000000000,"30",346.870000000000005,"33318",2,21,25,"333",380.00000000,-170.00000000,160.00000000,160.00000000
MRBH002,752761.999999999883585,968463.000000000000000,A,302.000000000000000,"30",349.160000000000025,"3528",0,17,18,"114",460.00000000,390.00000000,160.00000000,160.00000000
MRBH002,752761.999999999883585,968463.000000000000000,A,302.000000000000000,"30",349.160000000000025,"15790",1,17,18,"114",390.00000000,380.00000000,160.00000000,160.00000000
MRBH002,752761.999999999883585,968463.000000000000000,A,302.000000000000000,"30",349.160000000000025,"28052",2,17,18,"114",380.00000000,-170.00000000,160.00000000,160.00000000
BTG-W003,752703.000000000000000,968525.000000000000000,A,303.000000000000000,"30",349.180000000000007,"3528",0,17,18,"114",460.00000000,390.00000000,160.00000000,160.00000000
BTG-W003,752703.000000000000000,968525.000000000000000,A,303.000000000000000,"30",349.180000000000007,"15790",1,17,18,"114",390.00000000,380.00000000,160.00000000,160.00000000
BTG-W003,752703.000000000000000,968525.000000000000000,A,303.000000000000000,"30",349.180000000000007,"28052",2,17,18,"114",380.00000000,-170.00000000,160.00000000,160.00000000
MSS-W001,748181.000000000000000,972079.000000000000000,A,333.000000000000000,"30",373.689999999999998,"2800",0,14,14,"234",460.00000000,390.00000000,160.00000000,160.00000000
MSS-W001,748181.000000000000000,972079.000000000000000,A,333.000000000000000,"30",373.689999999999998,"15062",1,14,14,"234",390.00000000,380.00000000,160.00000000,160.00000000
MSS-W001,748181.000000000000000,972079.000000000000000,A,333.000000000000000,"30",373.689999999999998,"27324",2,14,14,"234",380.00000000,-170.00000000,160.00000000,160.00000000
BNJ-W002,748013.000000000000000,975647.000000000000000,A,359.000000000000000,"30",401.529999999999973,"2000",0,11,14,"411",460.00000000,390.00000000,160.00000000,160.00000000
BNJ-W002,748013.000000000000000,975647.000000000000000,A,359.000000000000000,"30",401.529999999999973,"14262",1,11,14,"411",390.00000000,380.00000000,160.00000000,160.00000000
BNJ-W002,748013.000000000000000,975647.000000000000000,A,359.000000000000000,"30",401.529999999999973,"26524",2,11,14,"411",380.00000000,-170.00000000,160.00000000,160.00000000
MRBH009,756815.631999999983236,964405.572999999858439,A,323.548999999999978,"30",337.829000000000008,"7375",0,20,21,"14411",460.00000000,390.00000000,40.00000000,40.00000000
MRBH009,756815.631999999983236,964405.572999999858439,A,323.548999999999978,"30",337.829000000000008,"19637",1,20,21,"14411",390.00000000,380.00000000,40.00000000,40.00000000
MRBH009,756815.631999999983236,964405.572999999858439,A,323.548999999999978,"30",337.829000000000008,"31899",2,20,21,"14411",380.00000000,-170.00000000,40.00000000,40.00000000
MRBH006,756804.694000000017695,964411.929000000003725,A,323.915000000000020,"30",363.725000000000023,"7375",0,20,21,"14411",460.00000000,390.00000000,40.00000000,40.00000000
MRBH006,756804.694000000017695,964411.929000000003725,A,323.915000000000020,"30",363.725000000000023,"19637",1,20,21,"14411",390.00000000,380.00000000,40.00000000,40.00000000
MRBH006,756804.694000000017695,964411.929000000003725,A,323.915000000000020,"30",363.725000000000023,"31899",2,20,21,"14411",380.00000000,-170.00000000,40.00000000,40.00000000
MRBH007,756736.890000000013970,964702.422999999951571,A,331.269999999999982,"30",352.740000000000009,"7237",0,20,21,"12323",460.00000000,390.00000000,40.00000000,40.00000000
MRBH007,756736.890000000013970,964702.422999999951571,A,331.269999999999982,"30",352.740000000000009,"19499",1,20,21,"12323",390.00000000,380.00000000,40.00000000,40.00000000
MRBH007,756736.890000000013970,964702.422999999951571,A,331.269999999999982,"30",352.740000000000009,"31761",2,20,21,"12323",380.00000000,-170.00000000,40.00000000,40.00000000
MRBH010,756628.520000000018626,964155.369999999995343,A,319.000000000000000,"30",366.110000000000014,"7721",0,20,21,"32133",460.00000000,390.00000000,40.00000000,40.00000000
MRBH010,756628.520000000018626,964155.369999999995343,A,319.000000000000000,"30",366.110000000000014,"19983",1,20,21,"32133",390.00000000,380.00000000,40.00000000,40.00000000
MRBH010,756628.520000000018626,964155.369999999995343,A,319.000000000000000,"30",366.110000000000014,"32245",2,20,21,"32133",380.00000000,-170.00000000,40.00000000,40.00000000
